Load_name,Bus_name,Phase,P,Q
H9L41_417890463-L_C,1032272357,3,60,12.2
H9L44_417889988-L_C,1032269029,3,60,12.2
H9L29_417888133-L_C,1032118638,3,45,9.1
H9L25_417889332-L_C,1032182851,3,45,9.1
H9L21_417829658-L_C,1031966952,3,30,6.1
H9L19_417889619-L_C,1032227800,3,45,9.1
H9L40_417888472-L_C,1032146776,3,45,9.1
H9L38_417890725-L_C,1032308538,3,45,9.1
H9L36_417831497-L_C,1031322460,3,30,14.5
B9L33_417831913-L_C,1032115851,3,60,12.2
B9E27Q_417829190-L_C,1031925026,3,45,9.1
73720_417830508-L_A,1031249655,1,30,14.5
73720_417830508-L_B,1031249655,2,30,14.5
73720_417830508-L_C,1031249655,3,30,14.5
HAH15_417888889-L_A,1032179753,1,100,48.4
HAH15_417888889-L_B,1032179753,2,100,48.4
HAH15_417888889-L_C,1032179753,3,100,48.4
AKZ32_417794454-L_C,1031249049,3,60,12.2
B9L60_417887848-L_A,1032116638,1,30,14.5
B9L60_417887848-L_B,1032116638,2,30,14.5
B9L60_417887848-L_C,1032116638,3,30,14.5
95918_417753923-L_A,1031249031,1,22.5,10.9
95918_417753923-L_B,1031249031,2,22.5,10.9
95918_417753923-L_C,1031249031,3,22.5,10.9
AKX88_417696635-L_C,1031323488,3,6,2.9
AKZ00_417697284-L_A,1031431088,1,22.5,10.9
AKZ00_417697284-L_B,1031431088,2,22.5,10.9
AKZ00_417697284-L_C,1031431088,3,22.5,10.9
AKZ01_417697894-L_A,1031461122,1,5.4,8
AKZ01_417697894-L_C,1031461122,3,9.6,-0.7
B9L64_417831256-L_A,1032072606,1,15,7.3
B9L64_417831256-L_B,1032072606,2,15,7.3
B9L64_417831256-L_C,1032072606,3,15,7.3
AKZ04_417697342-L_B,1031431494,2,45,9.1
AKZ06_417753545-L_A,1031631686,1,30,14.5
AKZ06_417753545-L_B,1031631686,2,16.6,15.5
AKZ06_417753545-L_C,1031631686,3,22.4,3.4
11CC05_417831636-L_C,1031249652,3,15,7.3
HBK62_417890802-L_C,1032309080,3,30,14.5
B9L66_417831028-L_A,1031249658,1,30,14.5
B9L66_417831028-L_B,1031249658,2,30,14.5
B9L66_417831028-L_C,1031249658,3,30,14.5
15C191_417753061-L_A,1031602534,1,6,2.9
H9L68_417830444-L_A,1032006805,1,30,14.5
H9L68_417830444-L_B,1032006805,2,30,14.5
H9L68_417830444-L_C,1032006805,3,30,14.5
AKZ18_417828996-L_C,1031249037,3,6,2.9
H9L69_417829886-L_A,1031249670,1,15,7.3
H9L69_417829886-L_B,1031249670,2,15,7.3
H9L69_417829886-L_C,1031249670,3,15,7.3
AKZ26_417698610-L_A,1031509072,1,15,7.3
AKZ26_417698610-L_B,1031509072,2,15,7.2
AKZ26_417698610-L_C,1031509072,3,15,7.3
H9L81_417889361-L_A,1032183055,1,15,7.3
H9L81_417889361-L_B,1032183055,2,15,7.3
H9L81_417889361-L_C,1032183055,3,15,7.3
135423_417888934-L_A,1032180067,1,15,7.3
AGU10_417889064-L_A,1032180978,1,60,29.1
AGU10_417889064-L_B,1032180978,2,60,29.1
AGU10_417889064-L_C,1032180978,3,60,29.1
AGN95_417796309-L_B,1031797917,2,64.1,-4.8
AGN95_417796309-L_C,1031797917,3,36.1,53.3
AGN97Q_417697519-L_A,1031458495,1,22.5,10.9
AGN97Q_417697519-L_B,1031458495,2,22.5,10.9
AGN97Q_417697519-L_C,1031458495,3,22.5,10.9
